"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"210",5286,"Z789","HJ375F14","Gender","F","Class","S","Sleep","7","24","shape","0",44955,"1",2,24,54,"2014-09-04 13:17:21",44.955,"0"
"211",5285,"721Q","HJ375F14","Gender","M","Class","Sr","Sleep","7","24","diffColor","0",61815,"1",1,24,54,"2014-09-04 13:16:12",61.815,"1"
"212",5284,"abc","HJ375F14","Gender","M","Class","S","Sleep","7","24","diffColor","0",50878,"1",1,24,54,"2014-09-04 13:15:49",50.878,"1"
"213",5283,"235M","HJ375F14","Gender","Female","Class","Sr","Sleep","5","24","diffColor","0",62830,"1",4,24,54,"2014-09-04 13:15:18",62.83,"0"
"215",5281,"721Q","HJ375F14","Gender","M","Class","Sr","Sleep","7","24","both","0",44659,"1",0,24,54,"2014-09-04 13:15:00",44.659,"1"
"216",5280,"abc","HJ375F14","Gender","M","Class","S","Sleep","7","24","optionColor","0",40611,"1",0,24,54,"2014-09-04 13:14:51",40.611,"1"
"217",5279,"D809","HJ375F14","Gender","M","Class","Sr","Sleep","6","24","both","0",45504,"1",0,24,54,"2014-09-04 13:14:41",45.504,"1"
"218",5278,"S
S369","HJ375F14","Gender","F","Class","S","Sleep","7","24","both","0",54588,"1",1,24,54,"2014-09-04 13:14:33",54.588,"0"
"219",5277,"Z789","HJ375F14","Gender","F","Class","S","Sleep","7","24","shape","0",50690,"1",3,24,54,"2014-09-04 13:14:22",50.69,"0"
"221",5275,"a234","HJ375F14","Gender","F","Class","S","Sleep","5","24","both","0",46740,"1",0,24,54,"2014-09-04 13:14:12",46.74,"0"
"222",5274,"721Q","HJ375F14","Gender","M","Class","Sr","Sleep","7","24","both","0",49252,"1",2,24,54,"2014-09-04 13:14:01",49.252,"1"
"223",5272,"S
S369","HJ375F14","Gender","F","Class","S","Sleep","7","24","optionColor","0",63739,"1",1,24,54,"2014-09-04 13:13:32",63.739,"0"
"225",5270,"Z789","HJ375F14","Gender","F","Class","S","Sleep","7","24","shape","0",50533,"1",3,24,54,"2014-09-04 13:13:22",50.533,"0"
"226",5269,"a234","HJ375F14","Gender","F","Class","S","Sleep","5","24","optionColor","0",48155,"1",0,24,54,"2014-09-04 13:13:20",48.155,"0"
"227",5268,"135m","HJ375F14","Gender","F","Class","S","Sleep","7","24","both","0",60769,"1",3,24,54,"2014-09-04 13:13:15",60.769,"0"
"228",5267,"721Q","HJ375F14","Gender","M","Class","Sr","Sleep","7","24","optionColor","0",41767,"1",0,24,54,"2014-09-04 13:13:08",41.767,"1"
"229",5266,"D809","HJ375F14","Gender","M","Class","Sr","Sleep","6","24","both","0",46627,"1",0,24,54,"2014-09-04 13:12:55",46.627,"1"
